"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"84","RT @IAMCloud: Contemplating moving your IT services to the cloud? Join us on our Big Push http://t.co/N4NHc1jPXW #tech #edutech http://t.co¡­",FALSE,0,NA,2015-04-15 11:32:08,FALSE,NA,"588303788865429504",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","DailyCloudTech",6,TRUE,FALSE,NA,NA
"85","RT @IAMCloud: Contemplating moving your IT services to the cloud? Join us on our Big Push http://t.co/N4NHc1jPXW #tech #edutech http://t.co¡­",FALSE,0,NA,2015-04-15 11:31:09,FALSE,NA,"588303541816709120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","itsofficialleon",6,TRUE,FALSE,NA,NA
"86","Out cool Year 7's at Duffryn High today finishing up their beatbox sample drum kits! #edutech¡­ https://t.co/RCByjhZe3E",FALSE,0,NA,2015-04-15 11:27:35,FALSE,NA,"588302645280043008",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LeighJDavies",0,FALSE,FALSE,NA,NA
"87","Testing: Fight, Flee or Fake It? #ASCDpolicy #edpolicy #edtech #edutech #K12 #highered http://t.co/3ZcMuhqN0C",FALSE,0,NA,2015-04-15 11:17:13,FALSE,NA,"588300038272593921",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","byod_news",0,FALSE,FALSE,NA,NA
"88","Contemplating moving your IT services to the cloud? Join us on our Big Push http://t.co/N4NHc1jPXW #tech #edutech http://t.co/bGHzIAh8V4",FALSE,2,NA,2015-04-15 11:14:22,FALSE,NA,"588299318114836480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IAMCloud",6,FALSE,FALSE,NA,NA
"89","Testing: Fight, Flee or Fake It? #ASCDpolicy #edpolicy #edtech #edutech #K12 #highered http://t.co/8S5m63bUgW",FALSE,0,NA,2015-04-15 11:14:13,FALSE,NA,"588299283725742082",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WalterinDC",0,FALSE,FALSE,NA,NA
"90","Award-winning #edutech company @learnosity is looking for a Marketing Executive https://t.co/c03OdTylKg #jobfairy #irishjobs",FALSE,2,NA,2015-04-15 10:29:00,FALSE,NA,"588287904117608448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ClinchJobs",0,FALSE,FALSE,NA,NA
"91","What is the biggest barrier for #teachers to use #edutech in the classroom? http://t.co/sJ9hxn3Adv @TeachersApps",FALSE,0,NA,2015-04-15 10:15:36,FALSE,NA,"588284529229561856",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","towlesarah",0,FALSE,FALSE,NA,NA
"92","How 2 Put Metacognition in Process 4 #Teachers.#Metacognition,#Comprehension, #education,#edutech,#Teaching,#School,http://t.co/zhtcTUK2y7",FALSE,0,NA,2015-04-15 10:06:49,FALSE,NA,"588282318709780481",NA,"<a href=""http://gremln.com"" rel=""nofollow"">Gremln</a>","Shyam17",0,FALSE,FALSE,NA,NA
"93","We need to take a second look at our ICT education in the country. #DigitalReading #curriculum #education #edutech  https://t.co/5xDPkp5YeK",FALSE,1,NA,2015-04-15 10:04:31,FALSE,NA,"588281740189442048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","capecoastspeaks",0,FALSE,FALSE,NA,NA
"94","The Coming Revolution in EdTech http://t.co/mGvAEI4u2W #GAFE #EduChat #EduTech #k12",FALSE,0,NA,2015-04-15 09:11:25,FALSE,NA,"588268376490913792",NA,"<a href=""http://app.vytmn.com/"" rel=""nofollow"">Vytmn</a>","Chris_GG_LA",0,FALSE,FALSE,NA,NA
"95","#techupdate 6 Epic Ways We Misuse Mobile Technology http://t.co/zIuqJlfVdA  #edutech #mobile2 #mobiletechnology #mobiletech #technology",FALSE,0,NA,2015-04-15 09:05:23,FALSE,NA,"588266861780987905",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","baseg25",0,FALSE,FALSE,NA,NA
